NOT LS; nlkp_i_2; 1635.51; 686.952; 2413; 117.893; 
NOT LS; nlkp_i_2; 1635.39; 686.969; 1892; 92.759; 
NOT LS; nlkp_i_2; 1634.65; 686.963; 2000; 97.283; 
NOT LS; nlkp_i_2; 1635.36; 686.994; 1147; 55.98; 
NOT LS; nlkp_i_2; 1635.36; 686.973; 1167; 57.159; 
NOT LS; nlkp_i_2; 1635.34; 686.949; 2078; 101.722; 
NOT LS; nlkp_i_2; 1635.26; 686.993; 1345; 66.172; 
NOT LS; nlkp_i_2; 1635.29; 686.995; 1854; 90.57; 
NOT LS; nlkp_i_2; 1636.8; 686.971; 2268; 110.994; 
NOT LS; nlkp_i_2; 1635.28; 686.966; 1900; 92.808; 
Best; nlkp_i_2; 1636.8; 686.971; 2268; 110.994; 

